Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
V Kohli (RCB),2008-2025,253,245,38,8063,113*,38.95,6101,132.15,8,56,10,709,275
S Dhawan (DC/DCH/MI/PBKS/SRH),2008-2024,222,221,29,6769,106*,35.25,5324,127.14,2,51,11,768,152
RG Sharma (DCH/MI),2008-2025,258,253,29,6628,109*,29.58,5058,131.03,2,43,18,599,280
DA Warner (DC/SRH),2009-2024,184,184,22,6565,126,40.52,4697,139.77,4,62,11,663,236
SK Raina (CSK/GL),2008-2021,205,200,30,5528,100*,32.51,4043,136.73,1,39,8,506,203
MS Dhoni (CSK/RPS),2008-2025,265,230,96,5243,84*,39.12,3814,137.46,-,24,6,363,252
AB de Villiers (DC/RCB),2008-2021,184,170,40,5162,133*,39.70,3403,151.68,3,40,10,413,251
CH Gayle (KKR/KXIP/PBKS/RCB),2009-2021,142,141,16,4965,175*,39.72,3333,148.96,6,31,8,404,357
RV Uthappa (CSK/KKR/MI/PWI/RCB/RR),2008-2022,205,197,17,4952,88,27.51,3799,130.35,-,27,8,481,182
KD Karthik (DC/GL/KKR/KXIP/MI/RCB),2008-2024,257,234,50,4842,97*,26.31,3577,135.36,-,22,18,466,161
AM Rahane (CSK/DC/KKR/MI/RPS/RR),2008-2025,187,173,17,4716,105*,30.23,3807,123.87,2,31,13,485,108
KL Rahul (KXIP/LSG/PBKS/RCB/SRH),2013-2024,132,123,20,4683,132*,45.46,3479,134.60,4,37,4,400,187
F du Plessis (CSK/DC/RCB/RPS),2012-2025,146,139,11,4600,96,35.93,3370,136.49,-,37,7,424,168
SV Samson (DC/RR),2013-2025,170,165,19,4498,119,30.80,3228,139.34,3,26,11,361,210
AT Rayudu (CSK/MI),2010-2023,204,187,33,4348,100*,28.23,3409,127.54,1,22,14,359,173
G Gambhir (DC/KKR),2008-2018,154,152,16,4217,93,31.00,3404,123.88,-,36,12,492,59
SR Watson (CSK/RCB/RR),2008-2020,145,141,16,3874,117*,30.99,2809,137.91,4,21,7,375,190
MK Pandey (DC/KKR/LSG/MI/PWI/RCB/SRH),2008-2024,171,159,27,3850,114*,29.16,3179,121.10,1,22,14,335,110
JC Buttler (GT/MI/RR),2016-2025,108,107,12,3636,124,38.27,2461,147.74,7,20,7,359,163
SA Yadav (KKR/MI),2012-2025,151,136,23,3623,103*,32.06,2499,144.97,2,24,10,387,131
KA Pollard (MI),2010-2022,189,171,52,3412,87*,28.67,2316,147.32,-,16,5,218,223
RR Pant (DC/LSG),2016-2025,112,111,17,3284,128*,34.93,2211,148.53,1,18,5,296,154
Q de Kock (DC/KKR/LSG/MI/RCB/SRH),2013-2025,109,109,7,3258,140*,31.94,2418,134.73,2,24,4,325,129
Shubman Gill (GT/KKR),2018-2025,104,101,15,3249,129,37.77,2384,136.28,4,20,4,312,98
SS Iyer (DC/KKR/PBKS),2015-2025,117,116,19,3224,97*,33.23,2495,129.21,-,22,6,276,122
YK Pathan (KKR/RR/SRH),2008-2019,174,154,44,3204,100,29.12,2241,142.97,1,13,9,262,158
RA Jadeja (CSK/GL/Kochi/RR),2008-2025,241,185,76,2976,62*,27.30,2298,129.50,-,3,8,216,107
DA Miller (GT/KXIP/LSG/RR),2012-2025,131,125,44,2951,101*,36.43,2119,139.26,1,13,4,208,136
WP Saha (CSK/GT/KKR/KXIP/SRH),2008-2024,170,145,24,2934,115*,24.24,2300,127.56,1,13,7,296,87
BB McCullum (CSK/GL/KKR/Kochi/RCB),2008-2018,109,109,5,2880,158*,27.69,2186,131.74,2,13,6,293,130
PA Patel (CSK/DCH/Kochi/MI/RCB/SRH),2008-2019,139,137,11,2848,81,22.60,2358,120.78,-,13,13,365,49
GJ Maxwell (DC/KXIP/MI/PBKS/RCB),2012-2025,135,130,17,2771,95,24.52,1769,156.64,-,18,19,232,160
Ishan Kishan (GL/MI/SRH),2016-2025,106,100,7,2750,106*,29.56,1993,137.98,1,16,8,266,125
Yuvraj Singh (DC/KXIP/MI/PWI/RCB/SRH),2008-2019,132,126,15,2750,83,24.77,2120,129.71,-,13,4,217,149
V Sehwag (DC/KXIP),2008-2015,104,104,5,2728,122,27.55,1755,155.44,2,16,7,334,106
MA Agarwal (DC/KXIP/PBKS/RCB/RPS/SRH),2011-2024,127,121,4,2661,106,22.74,2000,133.05,1,13,7,263,98
N Rana (KKR/MI/RR),2016-2025,109,103,9,2655,87,28.24,1969,134.84,-,18,7,236,132
M Vijay (CSK/DC/KXIP),2009-2020,106,106,5,2619,127,25.93,2149,121.87,2,13,5,247,91
HH Pandya (GT/MI),2015-2024,137,128,40,2525,91,28.69,1734,145.61,-,10,6,189,136
AD Russell (DC/KKR),2012-2025,129,106,20,2488,88*,28.93,1423,174.84,-,11,5,171,209
SPD Smith (DC/PWI/RPS/RR),2012-2021,103,93,21,2485,101,34.51,1940,128.09,1,11,1,225,60
SE Marsh (KXIP),2008-2017,71,69,7,2477,115,39.95,1866,132.74,1,20,1,266,78
RD Gaikwad (CSK),2020-2025,67,66,8,2433,108*,41.94,1765,137.84,2,19,6,223,94
JH Kallis (KKR/RCB),2008-2014,98,96,11,2427,89*,28.55,2222,109.22,-,17,9,255,44
DR Smith (CSK/DCH/GL/MI),2008-2017,91,89,5,2385,87*,28.39,1764,135.20,-,17,8,245,117
SR Tendulkar (MI),2008-2013,78,78,11,2334,100*,34.83,1948,119.81,1,13,4,295,29
RA Tripathi (CSK/KKR/RPS/RR/SRH),2017-2025,96,94,11,2238,93,26.96,1608,139.17,-,12,4,223,84
R Dravid (RCB/RR),2008-2013,89,82,5,2174,75*,28.23,1882,115.51,-,11,3,268,28
KS Williamson (GT/SRH),2015-2024,79,77,17,2128,89,35.46,1694,125.61,-,18,2,185,64
AJ Finch (DC/GL/KKR/KXIP/MI/PWI/RCB/RR/SRH),2010-2022,92,90,7,2091,88*,25.19,1631,128.20,-,15,8,214,78
AC Gilchrist (DCH/KXIP),2008-2013,80,80,4,2069,109*,27.22,1495,138.39,2,11,7,239,92
JP Duminy (DC/DCH/MI),2009-2018,83,77,26,2029,78*,39.78,1636,124.02,-,14,1,126,79
MEK Hussey (CSK/MI),2008-2015,59,58,7,1977,116*,38.76,1612,122.64,1,15,1,198,52
PP Shaw (DC),2018-2024,79,79,-,1892,99,23.94,1283,147.46,-,14,7,238,61
MP Stoinis (DC/KXIP/LSG/PBKS/RCB),2016-2025,97,89,22,1886,124*,28.14,1329,141.91,1,9,9,151,93
