Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4W,5W
YS Chahal (MI/PBKS/RCB/RR),2013-2025,161,160,3539,589.5,4,4636,205,May-40,22.61,7.85,17.26,6,1
PP Chawla (CSK/KKR/KXIP/MI),2008-2024,192,191,3850,641.4,2,5108,192,Apr-17,26.6,7.96,20.05,2,-
DJ Bravo (CSK/GL/MI),2008-2022,161,158,3119,519.5,3,4360,183,Apr-22,23.82,8.38,17.04,2,-
SP Narine (KKR),2012-2025,178,176,4099,683.1,3,4598,181,May-19,25.4,6.73,22.64,7,1
B Kumar (PWI/SRH),2011-2024,176,176,3910,651.4,14,4929,181,May-19,27.23,7.56,21.6,2,2
R Ashwin (CSK/DC/KXIP/RPS/RR),2009-2025,213,209,4548,758,4,5400,181,Apr-34,29.83,7.12,25.12,1,-
A Mishra (DC/DCH/LSG/SRH),2008-2024,162,162,3371,561.5,6,4145,174,May-17,23.82,7.37,19.37,4,1
SL Malinga (MI),2009-2019,122,122,2827,471.1,8,3365,170,May-13,19.79,7.14,16.62,6,1
JJ Bumrah (MI),2013-2024,133,133,3053,508.5,8,3715,165,05-Oct,22.51,7.3,18.5,2,2
RA Jadeja (CSK/GL/Kochi/RR),2008-2025,241,212,3847,641.1,2,4885,160,May-16,30.53,7.61,24.04,3,1
Rashid Khan (GT/SRH),2017-2025,122,122,2883,480.3,4,3300,150,Apr-24,22,6.86,19.22,2,-
Harbhajan Singh (CSK/KKR/MI),2008-2021,163,160,3416,569.2,6,4030,150,May-18,26.86,7.07,22.77,1,1
UT Yadav (DC/GT/KKR/RCB),2010-2024,148,147,3050,508.2,5,4317,144,Apr-23,29.97,8.49,21.18,3,-
Sandeep Sharma (KXIP/PBKS/RR/SRH),2013-2025,129,128,2858,476.2,8,3771,138,May-18,27.32,7.91,20.71,2,1
HV Patel (DC/PBKS/RCB/SRH),2012-2025,107,104,2185,364.1,2,3183,137,May-27,23.23,8.74,15.94,2,1
MM Sharma (CSK/DC/GT/KXIP),2013-2025,113,112,2277,379.3,-,3298,132,05-Oct,24.98,8.69,17.25,3,1
Mohammed Shami (DC/GT/KKR/KXIP/PBKS/SRH),2013-2025,111,111,2444,407.2,3,3445,128,04-Nov,26.91,8.45,19.09,2,-
AR Patel (DC/KXIP),2014-2025,151,149,3117,519.3,2,3776,123,Apr-21,30.69,7.26,25.34,1,-
TA Boult (DC/KKR/MI/RR/SRH),2015-2025,105,104,2355,392.3,11,3257,121,Apr-18,26.91,8.29,19.46,1,-
K Rabada (DC/GT/PBKS),2017-2025,81,81,1842,307,2,2611,118,Apr-21,22.12,8.5,15.61,6,-
AD Russell (DC/KKR),2012-2025,129,112,1697,282.5,-,2646,115,May-15,23,9.35,14.75,2,1
A Nehra (CSK/DC/MI/PWI/SRH),2008-2017,88,88,1908,318,2,2495,106,04-Oct,23.53,7.84,18,1,-
R Vinay Kumar (KKR/Kochi/MI/RCB),2008-2018,105,104,2122,353.4,1,2966,105,Apr-40,28.24,8.38,20.2,1,-
Z Khan (DC/MI/RCB),2008-2017,100,99,2200,366.4,5,2782,102,Apr-17,27.27,7.58,21.56,1,-
JD Unadkat (DC/KKR/LSG/MI/RCB/RPS/RR/SRH),2010-2024,105,104,2131,355.1,3,3189,99,May-25,32.21,8.97,21.52,-,2
DW Steyn (DCH/GL/RCB/SRH),2008-2020,95,95,2176,362.4,7,2508,97,03-Aug,25.85,6.91,22.43,-,-
SN Thakur (CSK/DC/KKR/KXIP/LSG/RPS),2015-2025,96,93,1878,313,3,2888,96,Apr-36,30.08,9.22,19.56,1,-
CH Morris (CSK/DC/RCB/RR),2013-2021,81,81,1720,286.4,1,2295,95,Apr-23,24.15,8,18.1,4,-
Mohammed Siraj (GT/RCB/SRH),2017-2025,94,94,1982,330.2,4,2876,93,Apr-21,30.92,8.7,21.31,2,-
SR Watson (CSK/RCB/RR),2008-2020,145,105,2029,338.1,3,2682,92,Apr-29,29.15,7.93,22.05,1,-
I Sharma (DC/DCH/KKR/KXIP/RPS/SRH),2008-2024,110,110,2309,384.5,6,3172,92,05-Dec,34.47,8.24,25.09,-,1
RP Singh (DCH/Kochi/MI/RCB/RPS),2008-2016,82,82,1775,295.5,2,2338,90,Apr-22,25.97,7.9,19.72,2,-
P Kumar (GL/KXIP/MI/RCB/SRH),2008-2017,119,119,2524,420.4,14,3251,90,Mar-18,36.12,7.72,28.04,-,-
PP Ojha (DCH/MI),2008-2015,92,90,1899,316.3,1,2332,89,03-Nov,26.2,7.36,21.33,-,-
Kuldeep Yadav (DC/KKR),2016-2025,85,83,1770,295,1,2408,89,Apr-14,27.05,8.16,19.88,4,-
CV Varun (KKR/KXIP),2019-2025,73,72,1636,272.4,1,2062,86,May-20,23.97,7.56,19.02,1,1
DS Kulkarni (GL/MI/RR),2008-2021,92,92,1787,297.5,8,2474,86,Apr-14,28.76,8.3,20.77,1,-
JA Morkel (CSK/DC/RCB/RPS),2008-2016,91,87,1723,287.1,3,2355,85,Apr-32,27.7,8.2,20.27,1,-
Imran Tahir (CSK/DC/RPS),2014-2021,59,59,1316,219.2,1,1703,82,04-Dec,20.76,7.76,16.04,3,-
IK Pathan (DC/GL/KXIP/RPS/SRH),2008-2017,103,101,2043,340.3,10,2649,80,Mar-24,33.11,7.77,25.53,-,-
KH Pandya (LSG/MI/RCB),2016-2025,128,118,2146,357.4,1,2635,79,03-Nov,33.35,7.36,27.16,-,-
Arshdeep Singh (KXIP/PBKS),2019-2025,66,66,1388,231.2,1,2088,78,May-32,26.76,9.02,17.79,2,1
DL Chahar (CSK/MI/RPS),2016-2025,82,82,1681,280.1,6,2239,78,Apr-13,28.7,7.99,21.55,2,-
KK Ahmed (CSK/DC/SRH),2018-2025,58,58,1300,216.4,4,1910,77,Mar-21,24.8,8.81,16.88,-,-
M Morkel (DC/KKR/RR),2009-2016,70,70,1629,271.3,3,2089,77,Apr-20,27.12,7.69,21.15,1,-
L Balaji (CSK/KKR/KXIP),2008-2014,73,73,1513,252.1,2,2028,76,May-24,26.68,8.04,19.9,3,1
KV Sharma (CSK/MI/RCB/SRH),2009-2024,84,82,1495,249.1,1,2087,76,Apr-16,27.46,8.37,19.67,2,-
RD Chahar (MI/PBKS/RPS),2017-2024,78,77,1664,277.2,1,2141,75,Apr-27,28.54,7.71,22.18,1,-
MM Patel (GL/MI/RR),2008-2017,63,63,1355,225.5,5,1698,74,May-21,22.94,7.51,18.31,2,1
Avesh Khan (DC/LSG/RCB/RR),2017-2024,63,62,1335,222.3,1,1974,74,Apr-24,26.67,8.87,18.04,1,-
